Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index
Average,5076,0.6603134064346273,0.7591232337721552,0.027953697606563677,0.7570127079274189,RF,RDKit,1
Average,5076,0.6605059168657362,0.760214601255097,0.029080677379321608,0.7589082175979608,RF,RDKit,2
Average,5076,0.6586039124601089,0.7608704426645481,0.026853201690533762,0.7588662267686601,RF,RDKit,3
Average,5076,0.6565685750648241,0.7628676911832334,0.013126403806578549,0.7611824281445514,XGBR,RDKit,1
Average,5076,0.6543196466060528,0.7657998052425528,0.020460160865081022,0.7646370571491542,XGBR,RDKit,2
Average,5076,0.6624643023368486,0.7577676802119271,0.013238324058006956,0.7570601835920419,XGBR,RDKit,3
Average,5076,0.5668104931208978,0.8579909821677069,-0.056311215252661286,0.8554245345943219,SVR,RDKit,1
Average,5076,0.5719085244787351,0.8545077960292575,-0.05297416895413006,0.8525621032806008,SVR,RDKit,2
Average,5076,0.5685066902025588,0.8575079224432549,-0.05742988370837363,0.854608313845042,SVR,RDKit,3
Average,5076,0.6975006820771865,0.717113006839275,0.02084667962600742,0.7158682279197263,RF,Morgan,1
Average,5076,0.6983890899322721,0.7156393049733922,0.02113947417014408,0.7147320070485079,RF,Morgan,2
Average,5076,0.7005846458346309,0.7132912016930986,0.020465775417018016,0.71213523387797,RF,Morgan,3
Average,5076,0.6900440503999569,0.7251108615456069,0.005371425065070539,0.724025194989734,XGBR,Morgan,1
Average,5076,0.6940928395145605,0.719827568124748,0.012200367416719851,0.7188494941043431,XGBR,Morgan,2
Average,5076,0.6858933611797694,0.7299273237757211,0.0036429441034957254,0.729260411484342,XGBR,Morgan,3
Average,5076,0.6520137399343853,0.7694229670336672,-0.02469069014212207,0.7676249912242306,SVR,Morgan,1
Average,5076,0.651879015146043,0.7692414595647319,-0.02604995781179572,0.7677131576397894,SVR,Morgan,2
Average,5076,0.6549097328109421,0.7661236500434073,-0.030411375702793248,0.7643646119805535,SVR,Morgan,3
Average,5076,0.6963956831909892,0.7171881066558051,0.012563729255693032,0.7154535790510896,RF,Both,1
Average,5076,0.6988180037953471,0.7162272605065735,0.015601051451419903,0.7150669477114067,RF,Both,2
Average,5076,0.70297368206831,0.7109986234677768,0.019861504508829404,0.7100050221753199,RF,Both,3
Average,5076,0.7056175358778727,0.7081893336922774,0.01446527863101565,0.7076244067536723,XGBR,Both,1
Average,5076,0.6972044187887118,0.717093480103814,0.02050120046179533,0.7164409623998012,XGBR,Both,2
Average,5076,0.7016070383801971,0.7100351442838216,0.007769789613110404,0.7084287822070728,XGBR,Both,3
Average,5076,0.668410261115045,0.750883256271274,-0.027149733796848107,0.7496508403366571,SVR,Both,1
Average,5076,0.6718378585020688,0.7470910251807664,-0.02554307568674386,0.746253522997592,SVR,Both,2
Average,5076,0.6665197121937254,0.7533964194512557,-0.030268970824398223,0.7521132314608786,SVR,Both,3
