ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL100334,6.92,CN(CCOCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,False
CHEMBL100366,6.11,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C=O)C12,False
CHEMBL100510,7.0,CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc1ccccc1,False
CHEMBL101028,6.0,CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc1ccccc1,False
CHEMBL101155,5.96,CN(CCOCCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,False
CHEMBL101518,7.52,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,False
CHEMBL101809,6.64,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,False
CHEMBL101940,7.26,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,False
CHEMBL101988,5.75,CN(CCOCCNC(=S)Nc1ccc(Cl)cc1)Cc1ccccc1,False
CHEMBL102077,4.05,CCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],False
CHEMBL102142,7.11,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,False
CHEMBL102226,4.3,CCCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],False
CHEMBL1025,6.92,CC(C)OP(=O)(F)OC(C)C,False
CHEMBL103153,4.3,CCc1ccccc1SC(=O)OCC[N+](C)(C)C.[Cl-],False
CHEMBL103890,4.4,CCC(C)(C)SC(=O)OCC[N+](C)(C)C.[Cl-],False
CHEMBL103959,4.3,CCc1ccc(SC(=O)OCC[N+](C)(C)C)cc1.[Cl-],False
CHEMBL104,4.71,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,True
CHEMBL104334,6.19,CN(C)Cc1ccc(CSCCNc2cc(Nc3ncccc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])o1,False
CHEMBL104355,6.19,CN(C)Cc1ccc(CSCCNc2ccc(F)cc2[N+](=O)[O-])o1,False
CHEMBL104387,7.7,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCCCCC[n+]1cccc2ccccc21,False
CHEMBL104553,7.4,[Br-].[Br-].c1ccc2c[n+](CCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,False
CHEMBL104613,7.0,[Br-].[Br-].c1ccc2c[n+](CCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,False
CHEMBL104681,6.92,CN(C)Cc1ccc(CSCCNc2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,False
CHEMBL105017,7.1,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCC[n+]1cccc2ccccc21,False
CHEMBL105257,8.0,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCCCC[n+]1cccc2ccccc21,False
CHEMBL105742,5.7,[Br-].[Br-].c1cc[n+](CCCCCCCCC[n+]2ccccc2)cc1,False
CHEMBL105874,7.9,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,False
CHEMBL106082,6.2,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3C#N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,False
CHEMBL106126,4.77,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,False
CHEMBL106344,5.89,CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccn3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,False
CHEMBL106348,6.28,CN(C)CCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],False
CHEMBL106418,5.92,CCCCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],False
CHEMBL106782,6.58,CCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],False
CHEMBL106891,7.1,O=C1c2ccccc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,False
CHEMBL106932,6.36,CC(C)=NNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],False
CHEMBL106936,6.16,CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,False
CHEMBL107254,6.17,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccc(F)cc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,False
CHEMBL107488,5.52,Cc1c(C)c2ccc(OCc3cccc(O)c3)cc2oc1=O,False
