ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL10316,6.0,c1ccc2c(c1)OCC(C1=NCCN1)O2,True
CHEMBL103879,4.68,COc1ccc2c(c1)SCC(=O)N2,False
CHEMBL1070,6.0,COc1ccc2cc(CCC(C)=O)ccc2c1,True
CHEMBL1076153,4.3,NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc[nH]1,False
CHEMBL1076880,5.12,COc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,False
CHEMBL1077616,4.94,O=C1/C(=C/c2ccc(O)cc2)COc2cc(O)cc(O)c21,False
CHEMBL1079383,4.16,NC(=S)N1N=C(c2cccs2)CC1c1ccc[nH]1,False
CHEMBL1080196,4.26,NC(=S)N1N=C(c2ccccc2)CC1c1ccco1,False
CHEMBL1080447,4.16,NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(Cl)cc1,False
CHEMBL1080448,4.18,Cc1ccc(C2CC(c3ccco3)=NN2C(N)=S)cc1,False
CHEMBL1080449,4.16,NC(=S)N1N=C(c2ccco2)CC1c1ccc(F)cc1,False
CHEMBL1085949,4.43,Cl.N=C(NCCCNCCCCCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1,False
CHEMBL108660,5.58,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,True
CHEMBL1089,6.73,NNCCc1ccccc1,True
CHEMBL109018,5.95,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,False
CHEMBL1096480,5.22,CCc1ccc(/C=N/NC(N)=S)cc1,False
CHEMBL115452,6.14,CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)c(O)c2)c(O)cc1O,False
CHEMBL1159896,5.33,CC(N)CSc1ccccc1,False
CHEMBL1170237,6.63,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,False
CHEMBL1172318,4.75,O=C1/C(=C/c2ccccc2O)Oc2cc(O)ccc21,False
CHEMBL1173331,5.1,CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccc(Br)cc12,False
CHEMBL1173525,4.92,CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccccc12,False
CHEMBL118875,4.95,Cc1c(C)c2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,False
CHEMBL1190983,6.1,C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,False
CHEMBL1193656,7.72,C#CCNC1CCc2c(OC(=O)N(C)CC)cccc21,False
CHEMBL1193856,5.16,C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21,False
CHEMBL1195259,7.28,C#CCNC1CCc2c(OC(=O)N(C)C)cccc21,False
CHEMBL1196,5.75,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,True
CHEMBL1198953,5.57,C[n+]1ccc2c3ccccc3n(CCCCCCCCCn3c4ccccc4c4cc[n+](C)cc43)c2c1,False
CHEMBL1200624,5.37,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,True
