ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL10316,6.0,c1ccc2c(c1)OCC(C1=NCCN1)O2,True
CHEMBL1070,6.0,COc1ccc2cc(CCC(C)=O)ccc2c1,True
CHEMBL108660,5.58,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,True
CHEMBL1089,6.73,NNCCc1ccccc1,True
CHEMBL1196,5.75,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,True
CHEMBL1200624,5.37,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,True
CHEMBL12014,7.54,Cc1nccc2c1[nH]c1ccccc12,True
CHEMBL124440,5.72,O=C1c2ccccc2Cc2ccccc21,True
CHEMBL126,4.34,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,True
CHEMBL13045,6.26,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,True
CHEMBL13311,4.4,O=c1ccoc2ccccc12,True
CHEMBL1475,6.08,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,True
CHEMBL151,5.31,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,True
CHEMBL164,5.0,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,True
CHEMBL164660,4.67,O=c1ccc2cc3ccoc3cc2o1,True
CHEMBL1651054,7.85,COc1cc2c3c(c1)C(=O)c1ccccc1C3=NCC2,True
CHEMBL1651055,9.08,COc1cc2c3c(nccc3c1)-c1ccccc1C2=O,True
CHEMBL16857,4.16,C#CCN(C)[C@@H](C)Cc1ccccc1,True
CHEMBL17594,7.19,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,True
CHEMBL179617,4.7,O=C1c2ccccc2C(=O)c2cnccc21,True
CHEMBL184574,4.89,O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,True
CHEMBL185138,4.54,COc1cc(O)c2c(=O)c3cccc(OC)c3oc2c1,True
CHEMBL185425,4.64,COc1cccc2c(=O)c3ccc(O)cc3oc12,True
CHEMBL185686,6.14,O=c1c2cccc(O)c2oc2cccc(O)c12,True
CHEMBL185776,6.18,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,True
CHEMBL185788,5.35,O=c1c2ccc(O)cc2oc2c(O)cccc12,True
CHEMBL185895,4.19,COc1c(O)ccc2c(=O)c3ccccc3oc12,True
CHEMBL185960,5.42,O=c1c2ccccc2oc2ccc(O)cc12,True
CHEMBL186020,4.51,COc1ccc2c(=O)c3ccccc3oc2c1OC,True
CHEMBL186368,6.75,COc1ccc2c(=O)c3ccccc3oc2c1,True
CHEMBL186416,4.24,COc1cc(OC)c2c(=O)c3cccc(OC)c3oc2c1,True
CHEMBL186433,5.57,COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,True
CHEMBL186576,4.29,COc1c(O)cc2oc3c(OC)cccc3c(=O)c2c1O,True
CHEMBL186609,5.28,COc1ccc2oc3ccccc3c(=O)c2c1,True
CHEMBL186784,6.145,O=c1c2ccccc2oc2ccccc12,True
CHEMBL186888,4.43,COc1cc2oc3c(OC)cccc3c(=O)c2c(OC)c1OC,True
CHEMBL187043,4.62,O=c1c2c(O)cc(O)cc2oc2ccc(O)c(O)c12,True
CHEMBL187044,5.07,COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1,True
CHEMBL187159,4.29,COc1cccc2oc3c(O)cccc3c(=O)c12,True
CHEMBL187265,4.6,O=c1c2cc(O)c(O)cc2oc2cc(O)cc(O)c12,True
CHEMBL187368,6.51,O=c1c2ccccc2oc2cccc(O)c12,True
CHEMBL187694,4.5,COc1c(O)cc2oc3c(OC)c(O)ccc3c(=O)c2c1O,True
CHEMBL187801,4.52,COc1cccc2c(=O)c3ccccc3oc12,True
CHEMBL188061,4.4,CC(C)=CCc1cc(O)c2c(=O)c3cccc(O)c3oc2c1O,True
CHEMBL191083,7.16,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,True
CHEMBL193373,4.83,O=C1CCCc2ccccc21,True
CHEMBL202018,4.37,Cc1cc(=O)oc2cc(OC3CCCCC3=O)ccc12,True
CHEMBL202112,4.18,Cc1cc(=O)oc2cc3oc4c(c3cc12)CCCC4,True
CHEMBL226335,5.41,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,True
CHEMBL2322655,4.34,Nc1c(C(=O)O)c2nc3c(C(=O)O)cccc3oc-2cc1=O,True
CHEMBL2391738,4.35,O=C1OCc2ccccc21,True
CHEMBL24171,4.86,COc1c2ccoc2cc2oc(=O)ccc12,True
CHEMBL242341,4.51,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,True
CHEMBL243664,6.786666666666666,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,True
CHEMBL250450,4.72,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,True
CHEMBL26323,4.72,COc1cc(O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1,True
CHEMBL288149,4.89,CC(=O)NC[C@H]1CN(c2ccc(N3CCSCC3)c(F)c2)C(=O)O1,True
CHEMBL289277,5.37,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,True
CHEMBL298398,4.94,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,True
CHEMBL29898,4.77,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,True
CHEMBL309490,6.89,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,True
CHEMBL31184,5.22,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,True
CHEMBL334918,4.07,Oc1ccc2c(c1)OC[C@H]1c3cc4c(cc3O[C@@H]21)OCO4,True
CHEMBL350475,6.13,CC(C)=CCc1c(O)ccc2ccc(=O)oc12,True
CHEMBL359978,5.89,O=c1c2ccccc2oc2c(O)cccc12,True
CHEMBL361025,5.1,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,True
CHEMBL363747,7.4,COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,True
CHEMBL365234,5.42,O=c1c2cccc(O)c2oc2cc(O)cc(O)c12,True
CHEMBL365640,5.96,O=c1c2ccccc2oc2cc(O)ccc12,True
CHEMBL3682538,5.68,N[C@@H]1CC1c1ccccc1,True
CHEMBL3741078,4.15,O=C1CCOc2cc(O)ccc21,True
CHEMBL376915,4.41,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,True
CHEMBL398440,5.74,Cc1cc(O)cc(C)c1Cl,True
CHEMBL40275,5.75,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,True
CHEMBL40919,6.72,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,True
CHEMBL416,4.07,COc1c2occc2cc2ccc(=O)oc12,True
CHEMBL43184,4.58,Nc1c2ccccc2nc2ccccc12,True
CHEMBL442289,7.29,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,True
CHEMBL442687,5.01,O=c1oc2cc(O)ccc2s1,True
CHEMBL4438912,5.12,C[C@H]1Cc2cccc(O)c2C(=O)O1,True
CHEMBL4446827,4.69,COc1ccc2c(c1O)OC[C@H]1c3cc4c(cc3O[C@@H]21)OCO4,True
CHEMBL4455693,5.39,Cc1ccc(O)c2c1C[C@H](C)OC2=O,True
CHEMBL4475937,4.77,C[C@@H]1Cc2c(O)ccc(O)c2C(=O)O1,True
CHEMBL4517254,5.42,Cc1cc(C)c2c(c1O)C(=O)O[C@H](C)C2,True
CHEMBL4525433,4.63,Cc1cc2cccc(O)c2c(=O)o1,True
CHEMBL454320,6.6,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1O,True
CHEMBL461985,5.34,Cc1ccc(O)c2c1C[C@@H](C)OC2=O,True
CHEMBL467794,4.96,N[C@@H]1C[C@@H]1c1ccccc1,True
CHEMBL472081,4.45,CC(C)NC(=O)c1cc2ccccc2oc1=O,True
CHEMBL4740697,4.6,CN1c2ccccc2Sc2ccccc21,True
CHEMBL475885,4.37,O=C1CCCCC1Oc1ccc2ccc(=O)oc2c1,True
CHEMBL481658,5.75,CC(C)=CC(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,True
CHEMBL483526,5.77,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,True
CHEMBL486760,4.61,c1ccc2c(c1)Cc1ccccc1O2,True
CHEMBL488917,6.4,Cc1cc(=O)oc2c(C)c(OC3CCCCC3=O)ccc12,True
CHEMBL499303,5.21,C[C@@H]1Cc2cccc(O)c2C(=O)O1,True
CHEMBL499847,5.75,O=c1ccc2c(ccc3ccoc32)o1,True
CHEMBL501402,4.32,O=c1oc2cc(O)ccc2c2c1CCC2,True
CHEMBL506,4.12,COc1cc(NC(C)CCCN)c2ncccc2c1,True
CHEMBL5180307,4.72,O=C1CSc2cc(O)ccc2N1,True
CHEMBL51931,5.72,O=C1C(=O)c2ccccc2-c2ccccc21,True
CHEMBL5204890,4.55,OC1c2ccccc2Oc2ccccc21,True
CHEMBL53418,4.97,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,True
CHEMBL53569,6.06,O=c1ccc2ccc3occc3c2o1,True
CHEMBL55,6.1,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,True
CHEMBL55761,4.51,O=C1c2cccc(O)c2C(=O)c2cccc(O)c21,True
CHEMBL55814,4.52,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,True
CHEMBL58343,4.0,NCCCCN=C(N)N,True
CHEMBL595,4.46,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,True
CHEMBL63349,4.41,CC(=O)Nc1cc2ccccc2oc1=O,True
CHEMBL698,6.5,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,True
CHEMBL82242,4.75,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,True
CHEMBL828,6.23,c1ccc2c(c1)Nc1ccccc1S2,True
CHEMBL8320,5.32,O=C1C=CC(=O)C=C1,True
CHEMBL8663,4.17,C#CCN(C)C(C)Cc1ccccc1,True
CHEMBL86771,5.97,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,True
CHEMBL86905,4.54,O=Cc1coc2ccccc2c1=O,True
CHEMBL945,5.41,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,True
CHEMBL9514,4.62,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,True
CHEMBL960,4.68,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,True
CHEMBL964,4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC,True
