ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL1076430,4.71,COc1ccc2c(c1CC=C(C)C)O[C@H]1c3ccc(O)cc3OC[C@@]21OC,True
CHEMBL1077438,6.72,CCCCCCCCCCCCCCCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1,True
CHEMBL1081157,5.17,CC1(C)CC[C@]2(C)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,True
CHEMBL1086764,5.06,CC(C)=CCc1cc2c(cc1O)OC[C@@]1(O)c3ccc4c(c3O[C@@H]21)C=CC(C)(C)O4,True
CHEMBL1086765,5.14,CC(C)=CCc1cc2c(cc1O)O[C@H]1c3ccc(O)c(CC=C(C)C)c3OC[C@@H]21,True
CHEMBL1087027,4.71,CC(C)=CCc1c(O)ccc2c1OC[C@H]1c3ccc(O)cc3O[C@@H]21,True
CHEMBL1087148,5.19,CC(C)=CCc1c(O)ccc2c1OC[C@H]1c3ccc4c(c3O[C@@H]21)OC(C)(C)C=C4,True
CHEMBL1088462,4.68,COc1ccc2c(c1CC=C(C)C)O[C@H]1c3cc(CC=C(C)C)c(O)cc3OC[C@@]21O,True
CHEMBL1098728,5.12,CC1(C)C=Cc2cc3c(cc2O1)OC[C@H]1c2ccc(O)cc2O[C@@H]31,True
CHEMBL113833,4.67,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O,True
CHEMBL1173381,5.8,CCCCCCCCCCCCCCCCCCCC(=O)O,True
CHEMBL1208973,5.02,O=c1cc(-c2ccc(O)cc2)oc2c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c(O)cc(O)c12,True
CHEMBL1223582,4.59,COc1c(CC=C(C)C)c(O)cc(O)c1-c1oc2cc(O)ccc2c1C,True
CHEMBL1223641,4.55,COc1cc(O)cc2occ(-c3cc(O)c(O)c(CC=C(C)C)c3)c(=O)c12,True
CHEMBL1223852,5.42,CC1=C(C)C(=O)C(CC[C@](C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)=C(C)C1=O,True
CHEMBL1271052,4.7,C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,True
CHEMBL1290156,5.49,COc1cc(C(=O)c2c(Br)c(Br)c(OC)c(OC)c2Br)c(Br)c(Br)c1OC,True
CHEMBL1366408,4.58,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c1C2=O,True
CHEMBL152325,4.63,C=C[C@@]1(C)CC=C2C(CCC3[C@](C)(C(=O)O)CCC[C@@]23C)C1,True
CHEMBL1523279,4.15,CCCCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,True
CHEMBL1688937,4.66,Oc1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2ccc(O)c(O)c2)cc1O,True
CHEMBL173395,4.2,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,True
CHEMBL1756,4.21,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,True
CHEMBL1782238,5.18,CC(C)=CC[C@]12OC(C)(C)[C@H]3C[C@H](C=C4C(=O)c5c(O)cc(O)cc5O[C@@]431)C2=O,True
CHEMBL1782240,4.98,CC(C)=CCc1c(O)c(CC=C(C)C)c2oc3ccc(O)cc3c(=O)c2c1O,True
CHEMBL1808155,5.71,CC(C)=CCc1c(O)ccc(C(=O)[C@H]2[C@@H](c3c(O)cc(-c4cc5ccc(O)cc5o4)cc3O)C=C(C)C[C@@H]2c2ccc(O)cc2O)c1O,True
CHEMBL1811965,4.82,COc1cc(OC)c([C@H]2COc3cc(O)ccc3C2=O)cc1CC=C(C)C,True
CHEMBL1811967,4.76,COc1cc(O)c(C2COc3cc(O)ccc3C2=O)cc1CC=C(C)C,True
CHEMBL1811968,4.45,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc2c1OC(C)(C)C(O)C2,True
CHEMBL1811969,4.01,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)ccc1O,True
CHEMBL1811971,4.83,COc1cc(O)c([C@]2(O)COc3cc(O)ccc3C2=O)cc1CC=C(C)C,True
CHEMBL1835376,5.11,C=C(CCC=C(C)C)[C@H]1CC[C@]2(C)CCCC(=C)[C@H]2C1,True
CHEMBL187265,5.04,O=c1c2cc(O)c(O)cc2oc2cc(O)cc(O)c12,True
CHEMBL187460,4.47,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,True
CHEMBL1923781,5.06,CC1(C)C[C@]2(O)O[C@@H]3C[C@@]4(C)[C@@H]5CC=C6[C@@H](C=C(O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(=O)C6(C)C)[C@]5(C)C(=O)C[C@]4(C)[C@H]3[C@@](C)(O)[C@]2(O)O1,True
CHEMBL1923782,5.55,CC1(C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C[C@@H]2C1=CC[C@@H]1[C@@]2(C)C(=O)C[C@]2(C)[C@@H]3[C@@H](C[C@@]12C)O[C@H](C(C)(C)O)CC(=O)[C@]3(C)O,True
CHEMBL1923783,5.37,CC1(C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C[C@@H]2C1=CC[C@@H]1[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)C[C@H]3NC(=O)OC3(C)C)[C@H](O)C[C@@]12C,True
CHEMBL1929043,5.23,COc1c(CC=C(C)C)c(O)cc2c1C[C@H](c1ccc(O)c(CC=C(C)C)c1O)CO2,True
CHEMBL1951707,4.71,CC(C)=C1CC=C([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2C4=C(CC[C@]23C)C(C)(C)[C@@H]2CC[C@H]4O2)C1=O,True
CHEMBL1951708,4.61,CC(C)=C1CC([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2C4=C(CC[C@]23C)C(C)(C)[C@@H]2CC[C@H]4O2)=CC1=O,True
CHEMBL201515,5.23,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,True
CHEMBL2018876,4.99,CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,True
CHEMBL2048004,5.06,C=C1CC[C@@H]2[C@](C)(CCC[C@]2(C)C(=O)O)[C@H]1CC[C@H](C)CCO,True
CHEMBL204813,5.58,CC(C)=CC[C@]12Oc3cc(O)c([C@H]4C=C(C)C[C@H](c5ccc(O)cc5O)[C@H]4C(=O)c4ccc(O)cc4O)c(O)c3C(=O)[C@@]1(O)Oc1cc(O)ccc12,True
CHEMBL2063149,5.17,CC(C)[C@@H]1C[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)C(C)(C)[C@@H](O)CC1,True
CHEMBL2063150,5.17,CC(C)[C@@H]1[C@H](O)[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)C(C)(C)[C@@H](O)CC1,True
CHEMBL2063151,5.17,CC(C)[C@@H]1CC(=O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)C(C)(C)[C@@H](O)CC1,True
CHEMBL2063152,5.17,CC(C)[C@@H]1C[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)[C@](C)(CO)[C@@H](O)CC1,True
CHEMBL2063153,5.17,CC(C)[C@@H]1C[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=CC[C@H](O)C(C)(C)[C@H]1C[C@@H]3O,True
CHEMBL206710,5.32,O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,True
CHEMBL207494,4.8,COC(=O)[C@@]12CC[C@@]3(C)CCC(C)(C)C[C@H]3C1=CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)C3CC[C@]12C,True
CHEMBL207657,4.93,CC1(C)CC[C@]2(C)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(CO)C5CC[C@]43C)[C@@H]2C1,True
CHEMBL208639,5.07,CC(=O)O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)[C@@H]2CC=C2[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]23C(=O)O)C1(C)C,True
CHEMBL2086414,5.2,C=C1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2[C@H]1C,True
CHEMBL2088611,4.76,C=C1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2[C@H]1C,True
CHEMBL2088612,4.75,C=C1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2[C@H]1C,True
CHEMBL208873,4.86,CC1(C)C2CC[C@]3(C)[C@H](C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1O,True
CHEMBL210970,5.28,CC1(C)CC[C@]2(C)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)[C@@H]2C1,True
CHEMBL2152644,4.89,COc1cc(C)c(Oc2cc(C)cc(O)c2O)c(O)c1,True
CHEMBL2159045,5.11,CC(C)=CCc1cc(-c2coc3c(CC=C(C)C)c(O)ccc3c2=O)ccc1O,True
CHEMBL2159046,4.86,COc1cc2c(cc1[C@H]1COc3cc(O)cc(O)c3C1=O)C=CC(C)(C)O2,True
CHEMBL2159047,5.34,COc1ccc([C@H]2COc3cc(O)cc(O)c3C2=O)cc1CC=C(C)C,True
CHEMBL2159048,4.76,CC(C)=CCc1cc2c(=O)c(-c3ccc(O)cc3O)coc2c(CC=C(C)C)c1O,True
CHEMBL2159049,4.62,CC(C)=CCc1c2c(c(O)c3c(=O)c(-c4ccc(O)cc4)coc13)CC(C(C)(C)O)O2,True
CHEMBL219553,4.13,COc1cc(O)cc(CCc2ccc(O)c(OC)c2)c1,True
CHEMBL220746,5.37,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C[C@@H](c1cc3c(cc1O)OC(C)(C)C=C3)O2,True
CHEMBL221907,4.7,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3,True
CHEMBL223067,4.15,COc1ccc(-c2cc(=O)c3cc4ccoc4cc3o2)cc1,True
CHEMBL229220,4.8,C=C(C)C(O)Cc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(CC=C(C)C)c1O,True
CHEMBL229222,4.85,CC(C)=CCc1c([C@H]2CC(=O)c3c(O)cc(O)cc3O2)cc2c(c1O)OC(C)(C)C=C2,True
CHEMBL229454,4.71,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O,True
CHEMBL229506,4.84,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c(CC=C(C)C)c(O)c1O,True
CHEMBL229670,4.72,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,True
CHEMBL229671,4.57,CC(C)=CCc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O,True
CHEMBL229789,4.78,COc1ccc(C2CC(=O)c3ccc(O)cc3O2)cc1CC=C(C)C,True
CHEMBL230006,4.34,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,True
CHEMBL2313414,4.82,CC(C)=CCC[C@@](O)(CO)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C,True
CHEMBL2313418,4.56,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]23C)C(=O)O1,True
CHEMBL2313419,5.08,CC(C)=C[C@H]1C[C@@](O)([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]23C)C(=O)O1,True
CHEMBL2313420,4.88,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@H](C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,True
CHEMBL2313421,4.64,CC(C)(O)C[C@H]1C=C([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]23C)C(=O)O1,True
CHEMBL2313422,4.31,CC(C)(O)C[C@@H]1C=C([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]23C)C(=O)O1,True
CHEMBL2313423,4.61,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@H](C5=C[C@H](CC(C)(C)O)OC5=O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,True
CHEMBL2322191,4.82,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,True
CHEMBL2322192,4.71,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,True
CHEMBL2322193,4.64,C=C(CC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@H](OC(C)=O)[C@@H](C)[C@@H]3CC[C@@]21O)C(C)C,True
CHEMBL232935,4.955,CC(C)=CCc1c(O)ccc(-c2cc3ccc(O)cc3o2)c1O,True
CHEMBL232941,4.8,COc1cc(O)ccc1-c1cc2cc(CC=C(C)C)c(O)cc2o1,True
CHEMBL233142,4.76,COc1cc(O)c(CC=C(C)C)cc1-c1cc2ccc(O)cc2o1,True
CHEMBL233147,4.2,CC1(C)C=Cc2c(O)ccc(-c3cc4ccc(O)cc4o3)c2O1,True
CHEMBL2332430,4.34,CC1=CC(=O)C(=C(C)C)C[C@H]2[C@H]1CC[C@]2(C)O,True
CHEMBL2332431,4.45,CC1=CC(=O)C(=C(C)C)C[C@@H]2[C@@](C)(O)CC[C@]12O,True
CHEMBL2332437,4.37,CC(C)=C1C[C@@H](O)[C@@](C)(O)CC[C@H](O)/C(C)=C\C1=O,True
CHEMBL2332439,4.45,CC(C)=C1C[C@@H](O)[C@@](C)(O)CC[C@@H](O)/C(C)=C\C1=O,True
CHEMBL2332880,4.46,CC(C)=C1C[C@H]2[C@@H](CC[C@@]2(C)O)[C@@](C)(O)CC1=O,True
CHEMBL233766,4.19,CC1(C)C=Cc2c(ccc(-c3cc4ccc(O)cc4o3)c2O)O1,True
CHEMBL233767,4.13,COc1ccc2cc(-c3ccc(O)cc3OC)oc2c1,True
CHEMBL2347643,5.445,CC1=C[C@@H]2CC(C)(C)[C@H]1/C=C\c1ccoc12,True
CHEMBL2373418,5.15,CC(C)CC(=O)OC[C@H]1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)O)C2CC[C@@H]1C3,True
CHEMBL238188,4.63,CC(C)=CCc1c2c(c3occ(-c4ccc(O)cc4)c(=O)c3c1O)C=CC(C)(C)O2,True
CHEMBL238628,4.38,CC1(C)C=Cc2c(cc3occ(-c4ccc(O)cc4)c(=O)c3c2O)O1,True
CHEMBL2414205,4.81,C/C1=C/C=C(/C(C)C)CCC2=CCC[C@](C)(OC2=O)C(=O)CC1,True
CHEMBL2419097,4.76,O=S1(=O)C[C@H](O)CS1,True
CHEMBL2437363,4.04,CC(C)=CCc1cc(C[C@@H](O)C(=O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O,True
CHEMBL2437364,4.44,COc1c([C@H]2c3c(cc(O)c(O)c3OC)C=C(C(=O)c3ccc(O)cc3)[C@H]2C(=O)c2ccc(O)cc2)ccc(O)c1O,True
CHEMBL2437368,4.94,CC(C)=CCc1cc([C@]23Oc4cc(O)c(CC=C(C)C)cc4C(=O)[C@H]2[C@H]2c4ccc(O)cc4O[C@@H]4Oc5c(ccc(O)c5CC=C(C)C)[C@@]42O3)ccc1O,True
CHEMBL2437373,4.49,CC(C)=CCc1cc(C(=O)CC(=O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O,True
CHEMBL2437376,5.3,CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc3c(c1)C=CC(C)(C)O3)CC2=O,True
CHEMBL2442946,4.76,COc1cc(-c2coc3c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c3c2=O)ccc1O,True
CHEMBL2442947,5.62,CC(C)=CCc1c(O)c(CC=C(C)C)c2occ(-c3ccc(O)c(O)c3)c(=O)c2c1O,True
CHEMBL251261,5.43,O=C(O)c1cc2oc3c(Oc4ccc(-c5ccc(O)c(O)c5)cc4O)cc(O)cc3c2cc1O,True
CHEMBL251431,5.77,O=C(O)c1cc2oc3c(Oc4ccc(-c5ccc(OS(=O)(=O)O)c(O)c5)cc4O)cc(O)cc3c2cc1O,True
CHEMBL253690,5.62,Oc1cc(Cc2cc(O)c(O)c(Br)c2Br)c(Br)c(Br)c1O,True
CHEMBL255890,4.525,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(CC=C(C)C)c1O,True
CHEMBL260553,5.55,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,True
CHEMBL269277,5.82,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,True
CHEMBL272861,5.27,O=c1cc(-c2ccc(O)c(-c3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)c2)oc2cc(O)cc(O)c12,True
CHEMBL295124,4.17,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,True
CHEMBL3088130,4.71,COc1cc([C@H]2Oc3ccc(C(=O)O)cc3O[C@@H]2CO)ccc1O,True
CHEMBL314229,4.66,CC(C)c1ccc2occ(C=O)c(=O)c2c1,True
CHEMBL323197,5.26,COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,True
CHEMBL3235601,5.0,CC1=CC(C)(C)N=C2C[C@@]3(C)CC(=O)C(C(C)C)=CC3=C12,True
CHEMBL3235602,5.01,CC1=CC(C)(C)N=C2C[C@@]3(C)CC(=O)C(C(C)C)=C3C=C12,True
CHEMBL3235603,4.77,CC1=CC(C)(C)N=C2C[C@]3(C(C)C)CC(=O)C(C(C)C)=C3C=C12,True
CHEMBL3235604,5.19,CC1=CC(C)(C)N=C2C[C@]3(C)C(=O)C(C)(C)N=C3C(C)=C12,True
CHEMBL323712,5.37,C=CC(C)(C)c1c(O)cc(O)c2c(=O)c(O)c(-c3cc(O)c(O)c(CC=C(C)C)c3)oc12,True
CHEMBL3356398,4.96,CC1=C(C)C(=O)[C@@]2(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2)[C@@](C)(O)C1=O,True
CHEMBL3393517,5.13,CC[C@]12CCCC(C)(C)[C@@H]1CC[C@]1(C)[C@@H]2C[C@@H](O)[C@]2(C)C3=C(CC[C@@H]12)[C@@H](C)OC3=O,True
CHEMBL3393519,5.13,CC[C@@]1(C)CCC[C@]2(C)[C@H]3C[C@@H](O)[C@]4(C)C5=C(CC[C@H]4[C@]3(C)CC[C@@H]12)[C@@H](C)OC5=O,True
CHEMBL3394770,4.94,COc1ccc(C(=C2C=CC(=O)C=C2)c2c(-c3ccc(O)cc3)ccc(CO)c2C#Cc2ccc(O)cc2)cc1,True
CHEMBL3394771,4.67,OCc1ccc(-c2ccc(O)cc2O)c(C(O)(c2ccc(O)cc2)c2ccc(O)cc2)c1C#Cc1ccc(O)cc1,True
CHEMBL3394772,4.71,COCc1ccc(-c2ccc(O)cc2O)c(C(O)(c2ccc(O)cc2)c2ccc(O)cc2)c1C#Cc1ccc(O)cc1,True
CHEMBL3400663,4.7,Cn1ccc2c3n(c(=O)c(=O)cc1-3)c1ccccc21,True
CHEMBL3400666,4.72,COc1ccc2c3ccn(C)c4cc(=O)c(=O)n(c3-4)c2c1,True
CHEMBL3581315,5.07,C[C@H]1OC(=O)c2c(O)cc3c(c2[C@H]1O)C[C@H]1[C@@]2(C)C=CC(=O)C(C)(C)[C@@H]2C[C@H](O)[C@]1(C)O3,True
CHEMBL3581318,4.83,C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)[C@@H](O)C[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@@H]1C3,True
CHEMBL3581564,4.95,CC1=C2C(=O)[C@H]3[C@@H](CC=C4C[C@@H](OC=O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,True
CHEMBL3581568,5.33,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3c4ccc([C@H](C)[C@@H]5NC[C@@H](C)C[C@H]5O)c(C)c4C[C@@H]32)C1,True
CHEMBL3601068,5.08,C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)CC[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]1C3,True
CHEMBL3608571,5.06,CCO[C@H]1OC[C@]23CCC[C@]1(C)[C@@H]2CC[C@]1(C)[C@@H]3CC[C@](C)(O)[C@H]1Cc1cc(O)ccc1O,True
