,Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index,Train Set
0,Average,2256,0.5696486221539214,0.6887154838047531,0.022576603788779105,0.6851006178410575,RF,RDKit,1,Mono-Non-Natural
0,Average,2256,0.5655775018635614,0.6895815673292226,0.027694632270363905,0.6881823462986228,RF,RDKit,2,Mono-Non-Natural
0,Average,2256,0.5769520344841944,0.6842951754785481,0.028092327128105034,0.682407024616514,RF,RDKit,3,Mono-Non-Natural
0,Average,2256,0.5602743161896202,0.6973843172813171,0.012513175154979494,0.6959274567257805,XGBR,RDKit,1,Mono-Non-Natural
0,Average,2256,0.5361756189354765,0.7142813092632536,0.012106593452917492,0.7136210608461354,XGBR,RDKit,2,Mono-Non-Natural
0,Average,2256,0.5481577055361389,0.7065867567817479,0.015562933762561931,0.7060864055007737,XGBR,RDKit,3,Mono-Non-Natural
0,Average,2256,0.5043863941951667,0.740593072957633,-0.0809630716402278,0.7323504699041662,SVR,RDKit,1,Mono-Non-Natural
0,Average,2256,0.5131330709793789,0.7327437532711938,-0.08209750938349022,0.7265824921789319,SVR,RDKit,2,Mono-Non-Natural
0,Average,2256,0.5059610683826767,0.7385581363220481,-0.08591562044017986,0.7319741263887656,SVR,RDKit,3,Mono-Non-Natural
0,Average,2256,0.6047245469929073,0.6549879178296764,-0.0040094877103244355,0.6509937470206364,RF,Morgan,1,Mono-Non-Natural
0,Average,2256,0.6234665387017804,0.6453913653142045,-0.000668485298126343,0.6431450153561469,RF,Morgan,2,Mono-Non-Natural
0,Average,2256,0.6126123949579425,0.655605500876489,-3.457431602680513e-05,0.6544433203397083,RF,Morgan,3,Mono-Non-Natural
0,Average,2256,0.5873281559149273,0.6741692841272615,-0.003971378964468195,0.6724199241863367,XGBR,Morgan,1,Mono-Non-Natural
0,Average,2256,0.5841940355621382,0.6761609954384475,-0.003330368108014821,0.6747953648096001,XGBR,Morgan,2,Mono-Non-Natural
0,Average,2256,0.5865143179434675,0.6764806469507436,0.0033952718507184844,0.6757034696358319,XGBR,Morgan,3,Mono-Non-Natural
0,Average,2256,0.5620163716417392,0.697431477925389,-0.04845685780822109,0.6926129018841221,SVR,Morgan,1,Mono-Non-Natural
0,Average,2256,0.5495576850813813,0.7052904805909103,-0.050615177429166845,0.7014786953787471,SVR,Morgan,2,Mono-Non-Natural
0,Average,2256,0.5506481976641641,0.7058942434467241,-0.04654463006473485,0.703372266312239,SVR,Morgan,3,Mono-Non-Natural
0,Average,2256,0.6035631124817379,0.6630482215512454,0.01863862328123562,0.6618713108946479,RF,Both,1,Mono-Non-Natural
0,Average,2256,0.6093105032057208,0.6574915266568939,0.02018796312617902,0.6561472696771224,RF,Both,2,Mono-Non-Natural
0,Average,2256,0.6098972668398568,0.6586131250323662,0.019692451799131476,0.6567678422749194,RF,Both,3,Mono-Non-Natural
0,Average,2256,0.5699406309691845,0.690015706144041,0.013945465390803352,0.6884822031941243,XGBR,Both,1,Mono-Non-Natural
0,Average,2256,0.5725110029706533,0.6861268154596447,0.008623792267539638,0.684759343226566,XGBR,Both,2,Mono-Non-Natural
0,Average,2256,0.5807409695885914,0.6768626275055387,0.0031441837419693185,0.6751174192246735,XGBR,Both,3,Mono-Non-Natural
0,Average,2256,0.5662909077614835,0.6913202764044389,-0.053024362253255755,0.6868060866536216,SVR,Both,1,Mono-Non-Natural
0,Average,2256,0.5688637481082021,0.6922031739428733,-0.051754393193115436,0.6895009210688336,SVR,Both,2,Mono-Non-Natural
0,Average,2256,0.570178832511447,0.6887641448654563,-0.051848108837532395,0.6842113437874645,SVR,Both,3,Mono-Non-Natural
0,Average,121,-0.2958717504258257,0.9501020232927324,0.06974749946581253,0.8707847867255823,RF,RDKit,1,Mono-Natural
