,Descriptors,Model,Train,Test,R2,RMSD,Bias,SDEP,Index
0,RDKit,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,-0.01286777179067533,0.9560851546693215,0.296745635576545,0.9088678951010057,1
1,RDKit,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,-0.017151386048028128,0.9581047563785438,0.29095290731995266,0.9128587677824295,2
2,RDKit,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.04946234130782157,0.9262001826989503,0.2626326413485505,0.888184031679163,3
0,RDKit,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.011978223244292097,0.9442857958537709,0.0470950252228204,0.9431106630986905,1
1,RDKit,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.011978223244292097,0.9442857958537709,0.0470950252228204,0.9431106630986905,2
2,RDKit,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.011978223244292097,0.9442857958537709,0.0470950252228204,0.9431106630986905,3
0,RDKit,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.06112099407463045,0.9205025852124806,-0.09167912416470143,0.9159257325652846,1
1,RDKit,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.06112099407463045,0.9205025852124806,-0.09167912416470143,0.9159257325652846,2
2,RDKit,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.06112099407463045,0.9205025852124806,-0.09167912416470143,0.9159257325652846,3
0,Morgan,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.08435293672056321,0.9090426338092933,0.05262763036206264,0.9075179571806892,1
1,Morgan,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.054201564056972185,0.9238883574342163,0.07690504230617914,0.9206819817235368,2
2,Morgan,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.09394692198820442,0.9042677005283726,0.0697397776465962,0.9015744215718822,3
0,Morgan,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.0007511356421155968,0.949635694279281,0.12995339065215478,0.9407019018303836,1
1,Morgan,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.0007511356421155968,0.949635694279281,0.12995339065215478,0.9407019018303836,2
2,Morgan,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.0007511356421155968,0.949635694279281,0.12995339065215478,0.9407019018303836,3
0,Morgan,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.12056116206860112,0.8908878152572576,0.015332821244754548,0.890755861034058,1
1,Morgan,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.12056116206860112,0.8908878152572576,0.015332821244754548,0.890755861034058,2
2,Morgan,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.12056116206860112,0.8908878152572576,0.015332821244754548,0.890755861034058,3
0,Both,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.07858256445472478,0.9119025108809118,0.23185096517119289,0.8819361197388945,1
1,Both,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.07918907693202204,0.9116023367827012,0.22037756788665924,0.8845634787848988,2
2,Both,RF,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.0919323718497399,0.9052724325831883,0.22881602977830295,0.8758775038277774,3
0,Both,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,-0.03375990594945222,0.9658952729195683,0.0924786874545179,0.9614579401175368,1
1,Both,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,-0.03375990594945222,0.9658952729195683,0.0924786874545179,0.9614579401175368,2
2,Both,XGBR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,-0.03375990594945222,0.9658952729195683,0.0924786874545179,0.9614579401175368,3
0,Both,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.14153098277563037,0.8802023250904865,-0.048105209297882125,0.8788868083735843,1
1,Both,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.14153098277563037,0.8802023250904865,-0.048105209297882125,0.8788868083735843,2
2,Both,SVR,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,Monoamine_oxidase_A_CHEMBL1951_NP.csv,0.14153098277563037,0.8802023250904865,-0.048105209297882125,0.8788868083735843,3
0,RDKit,RF,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.21057758902038892,1.163779962547868,0.23221776595744834,1.140376565175578,1
1,RDKit,RF,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.32649363998720404,1.2182239870843488,0.3250847947272897,1.174048363120022,2
2,RDKit,RF,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.24075424783480504,1.1781957340483766,0.28822627638466886,1.1423969543600954,3
0,RDKit,XGBR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-1.2599557341367364,1.5901003270817946,0.5916672595539274,1.4759230685091875,1
1,RDKit,XGBR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-1.2599557341367364,1.5901003270817946,0.5916672595539274,1.4759230685091875,2
2,RDKit,XGBR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-1.2599557341367364,1.5901003270817946,0.5916672595539274,1.4759230685091875,3
0,RDKit,SVR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.03859749881547159,1.077948957298066,-0.17819121788711292,1.063118922984581,1
1,RDKit,SVR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.03859749881547159,1.077948957298066,-0.17819121788711292,1.063118922984581,2
2,RDKit,SVR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.03859749881547159,1.077948957298066,-0.17819121788711292,1.063118922984581,3
0,Morgan,RF,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.06590352544794142,1.0920273359357182,-0.10804478934481467,1.0866692348301283,1
1,Morgan,RF,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.04720216466467564,1.0824050908655916,-0.11622707235730999,1.0761468526102738,2
2,Morgan,RF,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.063131647964765,1.0906065054491514,-0.1164497052304947,1.08437171480989,3
0,Morgan,XGBR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.40310711756460504,1.2529102852557839,-0.007795782344279246,1.2528860317991297,1
1,Morgan,XGBR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.40310711756460504,1.2529102852557839,-0.007795782344279246,1.2528860317991297,2
2,Morgan,XGBR,Monoamine_oxidase_A_CHEMBL1951_NP.csv,Monoamine_oxidase_A_CHEMBL1951_nonNP.csv,-0.40310711756460504,1.2529102852557839,-0.007795782344279246,1.2528860317991297,3
