,Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index,Train Set
0,Average,2455,0.6977645312408465,0.4771894999116565,0.013381428887071962,0.47646971872293664,RF,RDKit,1,Tyro-Natural
0,Average,2455,0.7054725538056354,0.4693922533253689,0.00779939178355314,0.46830324602069134,RF,RDKit,2,Tyro-Natural
0,Average,2455,0.6903786087585049,0.48204909541239055,0.01068954267357762,0.48090923792095824,RF,RDKit,3,Tyro-Natural
0,Average,2455,0.6862715817645587,0.4829888675560262,-7.116732190425509e-05,0.48219998429245575,XGBR,RDKit,1,Tyro-Natural
0,Average,2455,0.6865544395804636,0.4841021871172086,0.0065059061040551956,0.4831611643920796,XGBR,RDKit,2,Tyro-Natural
0,Average,2455,0.6912535682991547,0.4787017410548933,0.0012856721642072757,0.47710766026250423,XGBR,RDKit,3,Tyro-Natural
0,Average,2455,0.6752167613438903,0.4934122857430171,-0.023121499178762727,0.4912320965688469,SVR,RDKit,1,Tyro-Natural
0,Average,2455,0.6682363008221937,0.49899012502105694,-0.020675283572810035,0.4976443185915789,SVR,RDKit,2,Tyro-Natural
0,Average,2455,0.6698754009393001,0.49818515398232854,-0.02446661710443906,0.49631450537835387,SVR,RDKit,3,Tyro-Natural
0,Average,2455,0.7010870155413966,0.47055676397264995,0.015674784851913003,0.46935594540003694,RF,Morgan,1,Tyro-Natural
0,Average,2455,0.7079657704415093,0.4676098434320437,0.01106620713011403,0.46624683460880767,RF,Morgan,2,Tyro-Natural
0,Average,2455,0.7174750247352467,0.4606073958823135,0.014963846038528966,0.45954339594349436,RF,Morgan,3,Tyro-Natural
0,Average,2455,0.6866716455146153,0.48514038951748867,0.012683848991782256,0.4838968623737685,XGBR,Morgan,1,Tyro-Natural
0,Average,2455,0.7048982912543326,0.4712351340257164,0.003400667485884367,0.4701989394596122,XGBR,Morgan,2,Tyro-Natural
0,Average,2455,0.7042759957095317,0.4709899006720639,0.003393747273976757,0.47061345978334373,XGBR,Morgan,3,Tyro-Natural
0,Average,2455,0.6577606479633218,0.5062119399356229,-0.009261594882303461,0.5050414034375637,SVR,Morgan,1,Tyro-Natural
0,Average,2455,0.6557312257822117,0.5074314856325588,-0.011469135749071184,0.5059853790736286,SVR,Morgan,2,Tyro-Natural
0,Average,2455,0.6567293369014913,0.5081768674560679,-0.01024310529184682,0.5064943632256134,SVR,Morgan,3,Tyro-Natural
0,Average,2455,0.7180770929034562,0.4599272847193968,0.006943434721165452,0.45946564004057777,RF,Both,1,Tyro-Natural
0,Average,2455,0.7122472155397991,0.4628327394580179,0.010170437213773302,0.46190089935596923,RF,Both,2,Tyro-Natural
0,Average,2455,0.7192603786625898,0.4584345957500379,0.008320956652998361,0.45730898620958865,RF,Both,3,Tyro-Natural
0,Average,2455,0.7073046975672606,0.4689357644916542,0.008113716791398865,0.46795806321491823,XGBR,Both,1,Tyro-Natural
0,Average,2455,0.7109092410477721,0.46405291648732083,0.00461044299751909,0.46315939496140884,XGBR,Both,2,Tyro-Natural
0,Average,2455,0.7222879712981078,0.4575108149218276,0.00654807025669332,0.4569030446663609,XGBR,Both,3,Tyro-Natural
0,Average,2455,0.6899753903189435,0.4818347757859923,-0.007336190663301515,0.47988148802268993,SVR,Both,1,Tyro-Natural
0,Average,2455,0.6831916882365305,0.4862214946537261,-0.010019665389192443,0.48378123405148854,SVR,Both,2,Tyro-Natural
0,Average,2455,0.692424975397945,0.47914634611209966,-0.011697983430808554,0.4774122797114611,SVR,Both,3,Tyro-Natural
0,Average,333,0.1794393540683739,0.448876424989488,-0.004148977196719359,0.4376852963658611,RF,RDKit,1,Tyro-Non-Natural
0,Average,333,0.12179982254895565,0.45062912732233984,-0.0005776081845667889,0.44271796609872965,RF,RDKit,2,Tyro-Non-Natural
0,Average,333,0.24105208070049405,0.4386731225485425,-0.0034298071163935346,0.4349619145254732,RF,RDKit,3,Tyro-Non-Natural
0,Average,333,-0.01883119412721499,0.4872009446569745,-0.0019902686946957015,0.4842583413153144,XGBR,RDKit,1,Tyro-Non-Natural
0,Average,333,0.07475534657625653,0.46755467306829496,-0.0019099528072989327,0.45995402267759405,XGBR,RDKit,2,Tyro-Non-Natural
0,Average,333,0.08482880624437925,0.4770595409447827,-0.011136708979683097,0.4729180199101407,XGBR,RDKit,3,Tyro-Non-Natural
0,Average,333,0.1916694850035296,0.4492979466928392,-0.013477844813396301,0.442175714386415,SVR,RDKit,1,Tyro-Non-Natural
0,Average,333,0.22121104743971354,0.43212483788130107,-0.024260025375060546,0.42364295144524977,SVR,RDKit,2,Tyro-Non-Natural
0,Average,333,0.2100321624642219,0.4364889277237177,-0.017027616761072985,0.4284556598869396,SVR,RDKit,3,Tyro-Non-Natural
0,Average,333,0.2201937182905284,0.43032170283674215,-0.0019159640571999286,0.41801380809439814,RF,Morgan,1,Tyro-Non-Natural
0,Average,333,0.25161422525595406,0.4318334332162035,-0.005784634658964,0.4221788385404249,RF,Morgan,2,Tyro-Non-Natural
0,Average,333,0.2877754626805422,0.42401360029980034,-0.009856046234049638,0.42258705662610935,RF,Morgan,3,Tyro-Non-Natural
0,Average,333,0.1359538350815785,0.4561484380535591,-0.01737675384718676,0.4495407894256006,XGBR,Morgan,1,Tyro-Non-Natural
0,Average,333,0.05336561324261739,0.46108162427598937,0.00487631591382089,0.453813526700217,XGBR,Morgan,2,Tyro-Non-Natural
0,Average,333,0.02184703165944494,0.4737790789277117,-0.01607849710059886,0.46662317839021183,XGBR,Morgan,3,Tyro-Non-Natural
0,Average,333,0.20143499584887214,0.4438401471766575,-0.013103863732219806,0.4324752397044801,SVR,Morgan,1,Tyro-Non-Natural
0,Average,333,0.17096635922824263,0.4423648627324039,-0.0141633091798845,0.42943541611124536,SVR,Morgan,2,Tyro-Non-Natural
0,Average,333,0.24544788794107056,0.4372315031846011,-0.007000466710900084,0.43150716419130974,SVR,Morgan,3,Tyro-Non-Natural
0,Average,333,0.1748826309002791,0.43364965544990486,-0.004692272549514537,0.42181394665981375,RF,Both,1,Tyro-Non-Natural
0,Average,333,0.1687893238269183,0.43138584157581994,-0.008399965243159873,0.42334019559996,RF,Both,2,Tyro-Non-Natural
0,Average,333,0.2384720340925711,0.431784036482597,-0.011047552047576426,0.4230752218184743,RF,Both,3,Tyro-Non-Natural
0,Average,333,0.09078870789457363,0.4694681498235632,-0.025423886424249902,0.4631983661805085,XGBR,Both,1,Tyro-Non-Natural
0,Average,333,0.19176357103953762,0.44457625066336687,-0.004522178556744828,0.43496215816360184,XGBR,Both,2,Tyro-Non-Natural
0,Average,333,0.1115823672026155,0.4527182158077564,-0.007093950221627766,0.442135673780354,XGBR,Both,3,Tyro-Non-Natural
0,Average,333,0.2333157699458702,0.4353071676448595,-0.014778653459391517,0.42499702587415633,SVR,Both,1,Tyro-Non-Natural
0,Average,333,0.21224377829371024,0.43566565070145663,-0.011439713086870546,0.42599850247759663,SVR,Both,2,Tyro-Non-Natural
0,Average,333,0.21741162424933078,0.4454623943527348,-0.010219052025536343,0.4343588205027332,SVR,Both,3,Tyro-Non-Natural
