Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index,File
Average,2788,0.5528264893081335,0.5520585610189087,-0.015554420555376225,0.5488823843514732,RF,RDKit,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5566724721321246,0.5489822278429798,-0.013596936128392464,0.5464938336673681,RF,RDKit,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5536279819878407,0.5515617193123155,-0.013796528040997508,0.5487919868360469,RF,RDKit,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5201845368538427,0.5708004952256124,-0.03176710449443447,0.5681040901854335,XGBR,RDKit,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5201845368538427,0.5708004952256124,-0.03176710449443447,0.5681040901854335,XGBR,RDKit,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5201845368538427,0.5708004952256124,-0.03176710449443447,0.5681040901854335,XGBR,RDKit,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,-0.04816328366521476,0.8579121923568767,-0.16493784618612248,0.836027459897673,SVR,RDKit,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,-0.04816328366521476,0.8579121923568767,-0.16493784618612248,0.836027459897673,SVR,RDKit,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,-0.04816328366521476,0.8579121923568767,-0.16493784618612248,0.836027459897673,SVR,RDKit,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.554263057510958,0.5512393824414819,-0.015811283634363023,0.5489051681663888,RF,Morgan,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5607600983585735,0.5476972357688339,-0.010633440330743904,0.5456631881755296,RF,Morgan,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5681249001093189,0.5418871046960024,-0.016750748020180253,0.5395448531068817,RF,Morgan,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5313798042792357,0.5656227489280249,-0.014291323021362077,0.5626705355370881,XGBR,Morgan,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5313798042792357,0.5656227489280249,-0.014291323021362077,0.5626705355370881,XGBR,Morgan,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5313798042792357,0.5656227489280249,-0.014291323021362077,0.5626705355370881,XGBR,Morgan,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5796327156441071,0.5358504264909525,-0.0252337537946269,0.5328925597387654,SVR,Morgan,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5796327156441071,0.5358504264909525,-0.0252337537946269,0.5328925597387654,SVR,Morgan,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5796327156441071,0.5358504264909525,-0.0252337537946269,0.5328925597387654,SVR,Morgan,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5878530315234372,0.5289396328255107,-0.017033368932468037,0.5259190936097383,RF,Both,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5927734250585814,0.5262776371183018,-0.019684940959091866,0.5234470456353553,RF,Both,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.584772660109718,0.5316647406968364,-0.020181890980911298,0.5286504901075182,RF,Both,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5649808197881032,0.542468487505116,-0.01555085873427459,0.5382379859120746,XGBR,Both,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5649808197881032,0.542468487505116,-0.01555085873427459,0.5382379859120746,XGBR,Both,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,0.5649808197881032,0.542468487505116,-0.01555085873427459,0.5382379859120746,XGBR,Both,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,-0.04823120874500038,0.8579405830289082,-0.16505068856962177,0.836026291861061,SVR,Both,1,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,-0.04823120874500038,0.8579405830289082,-0.16505068856962177,0.836026291861061,SVR,Both,2,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
Average,2788,-0.04823120874500038,0.8579405830289082,-0.16505068856962177,0.836026291861061,SVR,Both,3,Protein-tyrosine_phosphatase_1B_CHEMBL335.csv
