,Descriptors,Model,Train,Test,R2,RMSD,Bias,SDEP,Index
0,RDKit,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.14385462331789234,0.4826185165360496,0.09314937294437332,0.4735439016855008,1
1,RDKit,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.13900707650642352,0.48398289555208507,0.10085025025025043,0.47335892324053885,2
2,RDKit,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.13383844952821122,0.4854334208582017,0.1036704584346253,0.4742341638199958,3
0,RDKit,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.006054266098436845,0.5231677034828722,0.08228651342306054,0.516655954844439,1
1,RDKit,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.006054266098436845,0.5231677034828722,0.08228651342306054,0.516655954844439,2
2,RDKit,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.006054266098436845,0.5231677034828722,0.08228651342306054,0.516655954844439,3
0,RDKit,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.14269025224805176,0.48294658938404583,0.018337899146092688,0.4825983108679411,1
1,RDKit,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.14269025224805176,0.48294658938404583,0.018337899146092688,0.4825983108679411,2
2,RDKit,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.14269025224805176,0.48294658938404583,0.018337899146092688,0.4825983108679411,3
0,Morgan,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.06358031870864367,0.5047374031722807,0.11949147254397258,0.49038926798041826,1
1,Morgan,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.023405669679876673,0.5154509232205218,0.11486016850183532,0.502490592887686,2
2,Morgan,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.051951562238436,0.5078617279297833,0.09781200557700574,0.4983536357455708,3
0,Morgan,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.16376520483774692,0.5626818498982057,0.0559270204710173,0.5598955550690694,1
1,Morgan,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.16376520483774692,0.5626818498982057,0.0559270204710173,0.5598955550690694,2
2,Morgan,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.16376520483774692,0.5626818498982057,0.0559270204710173,0.5598955550690694,3
0,Morgan,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.13224627386805365,0.5550098267009076,0.20595854254044488,0.5153804288961574,1
1,Morgan,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.13224627386805365,0.5550098267009076,0.20595854254044488,0.5153804288961574,2
2,Morgan,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,-0.13224627386805365,0.5550098267009076,0.20595854254044488,0.5153804288961574,3
0,Both,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.125006094752519,0.4879021551690323,0.11394478085228134,0.4744102654191962,1
1,Both,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.12780525384481278,0.48712111558220156,0.10010219338386005,0.4767247970535924,2
2,Both,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.15536034277013178,0.47936459724552893,0.09527301980551961,0.4698015206334535,3
0,Both,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.021702242757554613,0.515900265597541,0.015616824496615783,0.515663842863018,1
1,Both,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.021702242757554613,0.515900265597541,0.015616824496615783,0.515663842863018,2
2,Both,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.021702242757554613,0.515900265597541,0.015616824496615783,0.515663842863018,3
0,Both,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.041725868593716076,0.5105932918601434,0.14840605820953714,0.488550050229539,1
1,Both,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.041725868593716076,0.5105932918601434,0.14840605820953714,0.488550050229539,2
2,Both,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,0.041725868593716076,0.5105932918601434,0.14840605820953714,0.488550050229539,3
0,RDKit,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.21006638447178094,0.9570464499261755,-0.28711778134413657,0.9129629165263593,1
1,RDKit,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.18032669957457692,0.9452126690074318,-0.2384420955360324,0.9146432948032466,2
2,RDKit,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.19178894055361861,0.9497910960106177,-0.2941275213743489,0.903101393660331,3
0,RDKit,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.4271020564026873,1.0393359137270899,-0.3311074717794238,0.9851837309328464,1
1,RDKit,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.4271020564026873,1.0393359137270899,-0.3311074717794238,0.9851837309328464,2
2,RDKit,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.4271020564026873,1.0393359137270899,-0.3311074717794238,0.9851837309328464,3
0,RDKit,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.08556329237251425,0.9064753383880675,-0.31368169563224463,0.8504712416837159,1
1,RDKit,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.08556329237251425,0.9064753383880675,-0.31368169563224463,0.8504712416837159,2
2,RDKit,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.08556329237251425,0.9064753383880675,-0.31368169563224463,0.8504712416837159,3
0,Morgan,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.16841003462046578,0.9404290963267494,-0.40263566217344654,0.8498772904155615,1
1,Morgan,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.21162674683226457,0.9576632996202818,-0.4144873370883702,0.8633187376820902,2
2,Morgan,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.16226026771105562,0.9379509209776259,-0.39773779502274137,0.8494448637629309,3
0,Morgan,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.3990727144641477,1.0290786350559646,-0.4570420861085579,0.9220170110438227,1
1,Morgan,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.3990727144641477,1.0290786350559646,-0.4570420861085579,0.9220170110438227,2
2,Morgan,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.3990727144641477,1.0290786350559646,-0.4570420861085579,0.9220170110438227,3
0,Morgan,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.22000030730386855,0.9609668105043468,-0.42854612158234107,0.8601194292466776,1
1,Morgan,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.22000030730386855,0.9609668105043468,-0.42854612158234107,0.8601194292466776,2
2,Morgan,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.22000030730386855,0.9609668105043468,-0.42854612158234107,0.8601194292466776,3
0,Both,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.11901969456488004,0.9203378503775365,-0.2764800318060985,0.8778271759577984,1
1,Both,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.10273309703578515,0.9136158453204258,-0.31736579976518137,0.85672216147358,2
2,Both,RF,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.12958989625640194,0.924674365498248,-0.3067522435166328,0.8723105773215752,3
0,Both,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.20042727010979,0.9532270210666856,-0.3552499864918799,0.8845559342343403,1
1,Both,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.20042727010979,0.9532270210666856,-0.3552499864918799,0.8845559342343403,2
2,Both,XGBR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.20042727010979,0.9532270210666856,-0.3552499864918799,0.8845559342343403,3
0,Both,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.1737574940496891,0.9425786694531713,-0.3984382954915022,0.8542256568342682,1
1,Both,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.1737574940496891,0.9425786694531713,-0.3984382954915022,0.8542256568342682,2
2,Both,SVR,Protein-tyrosine_phosphatase_1B_CHEMBL335_NP.csv,Protein-tyrosine_phosphatase_1B_CHEMBL335_nonNP.csv,-0.1737574940496891,0.9425786694531713,-0.3984382954915022,0.8542256568342682,3
