ChEMBL_ID,SMILES,MolWt,MolLogP,NumRotatableBonds,NumHAcceptors,NumHDonors
CHEMBL154211,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,354.4580000000002,1.519059999999999,7,7,2
CHEMBL85473,COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],492.47900000000016,2.0126999999999997,6,4,1
CHEMBL3402707,CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1.Cl,372.89600000000013,4.006700000000004,8,3,0
CHEMBL3402712,CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1F.Cl,390.88600000000014,4.145800000000005,8,3,0
CHEMBL1203538,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,404.9460000000003,2.33096,7,7,2
CHEMBL94546,CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21.CS(=O)(=O)O,485.6060000000002,3.6955000000000027,5,6,1
CHEMBL4063877,CN1CCN(Cc2ccc3c(c2)C(=O)C(=O)N3C(=O)c2ccccc2)CC1,363.4170000000001,1.8037,3,5,0
CHEMBL2375481,COc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1,298.327,3.1214000000000013,3,7,0
CHEMBL61274,CCCCCCNC(=O)Oc1ccc2c(c1)C1CCN(C)C2C1,316.4450000000001,4.219200000000003,6,3,1
CHEMBL409610,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31[C@H](O)CN(C)C2,303.3580000000001,0.8211,1,5,2
CHEMBL1243012,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2,337.42300000000006,3.950720000000003,2,4,2
CHEMBL334971,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,368.4620000000001,4.170200000000003,5,6,0
CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,330.33500000000004,3.2155000000000022,2,5,0
CHEMBL1651127,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCNCC2,376.5440000000002,4.249900000000003,6,3,1
CHEMBL130112,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,338.43600000000004,4.079920000000002,3,5,0
CHEMBL3628055,O=C(NCCc1c[nH]c2ccccc12)c1cc[n+](Cc2ccccc2)cc1.[Br-],436.35300000000007,0.4802000000000002,6,1,2
CHEMBL147517,C#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],257.721,-2.489399999999997,4,4,1
CHEMBL87441,CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,400.5200000000001,4.058000000000003,10,5,0
CHEMBL2413560,c1ccc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc2c1,321.4239999999999,4.094600000000003,5,3,1
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,312.32500000000005,2.8032000000000004,6,6,0
CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,464.4370000000001,4.843600000000005,7,4,0
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,305.765,2.915000000000001,1,4,1
CHEMBL479291,[O-]c1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4,265.268,1.6389,0,3,0
CHEMBL338975,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=C(O)c1ccccc1O,413.4740000000001,2.8643000000000014,2,6,3
CHEMBL511468,COc1ccc(C(=O)c2ccc(CN(CCO)Cc3ccccc3)cc2)cc1OC,405.4940000000001,3.929300000000003,10,5,1
CHEMBL1917825,C=CCCCNc1c2c(nc3ccc(OC)cc13)CCCC2,296.4140000000001,4.500300000000004,6,3,1
CHEMBL491561,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccccc1C(F)(F)F)CCCC3,431.4580000000002,4.955900000000003,3,5,2
CHEMBL442813,CC(C)(O)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1,246.26199999999997,1.8673999999999997,1,4,1
CHEMBL123248,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C,291.35099999999994,1.7055,1,5,1
CHEMBL149017,C#CCCCC[n+]1ccccc1/C=N/O.[Cl-],238.71800000000002,-1.4102999999999977,5,2,1
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,292.364,2.2053000000000003,3,6,0
CHEMBL416772,CCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],247.726,-2.101099999999996,6,4,1
CHEMBL1242180,CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1.[I-],416.306,0.9046999999999992,3,1,0
CHEMBL4172271,COc1cc2c3c(c1)c1cc(=O)c(OC)cc-1cn3CC2,281.31100000000004,2.6796000000000006,2,4,0
